tiers,pos,name,bye,rk,team,sos,ecr_vs_adp
8,WR,Anthony Miller,10,93,HOU,3,5
8,WR,Allen Lazard,13,80,GB,1,0
8,WR,Denzel Mims,6,88,NYJ,4,0
8,WR,Marquez Valdes-Scantling,13,79,GB,1,-6
8,WR,Kadarius Toney,10,91,NYG,3,-10
8,WR,Nico Collins,10,90,HOU,3,-11
8,WR,Sammy Watkins,8,81,BAL,2,-13
8,WR,Donovan Peoples-Jones,13,98,CLE,1,-15
8,TE,Tim Tebow,7,95,JAC,4,-61
8,TE,Tre' McKitty,7,73,LAC,3,
8,TE,Devin Asiasi,14,74,NE,5,
8,TE,Darrell Daniels,12,76,ARI,2,
8,TE,Chris Manhertz,7,78,JAC,4,
8,TE,Pharaoh Brown,10,79,HOU,4,
8,TE,Blake Bell,12,80,KC,3,
8,TE,Marcedes Lewis,13,81,GB,3,
8,TE,Durham Smythe,14,82,MIA,4,
8,TE,Johnny Mundt,11,83,LAR,2,
8,TE,Josiah Deguara,13,84,GB,3,
8,TE,Tommy Sweeney,7,85,BUF,2,
8,TE,Luke Farrell,7,86,JAC,4,
8,TE,John Bates,9,87,WAS,3,
8,TE,Colby Parkinson,9,88,SEA,1,
8,TE,Troy Fumagalli,14,89,NE,5,
8,TE,Hunter Bryant,9,91,DET,4,
8,TE,Kaden Smith,10,92,NYG,3,
8,TE,Garrett Griffin,6,97,NO,4,
8,TE,Dalton Keene,14,98,NE,5,
8,RB,DeeJay Dallas,9,79,SEA,1,35
8,RB,Rex Burkhead,10,84,HOU,4,31
8,RB,Matt Breida,7,75,BUF,3,28
8,RB,Justice Hill,8,76,BAL,4,24
8,RB,Jermar Jefferson,9,92,DET,0,19
8,RB,Samaje Perine,10,74,CIN,3,18
8,RB,Ke'Shawn Vaughn,9,82,TB,0,11
8,RB,Kalen Ballage,7,85,PIT,5,11
8,RB,Jalen Richard,8,83,LV,2,5
8,RB,La'Mical Perine,6,77,NYJ,4,1
8,RB,Qadree Ollison,6,80,ATL,2,0
8,RB,Eno Benjamin,12,86,ARI,3,0
8,RB,Larry Rountree III,7,91,LAC,4,0
8,RB,Jeff Wilson Jr.,6,78,SF,3,-1
8,RB,Javian Hawkins,13,90,TEN,3,-19
8,RB,Jordan Wilkins,14,89,IND,4,
8,QB,Geno Smith,9,66,SEA,0,
8,QB,Jarrett Stidham,14,67,NE,5,
8,QB,Nick Mullens,13,68,CLE,3,
8,QB,Tim Boyle,9,69,DET,1,
8,QB,Blaine Gabbert,9,70,TB,2,
8,QB,Logan Woodside,13,72,TEN,2,
8,QB,Cooper Rush,7,73,DAL,2,
8,QB,Blake Bortles,13,74,GB,2,
8,QB,Tyler Huntley,8,75,BAL,2,
8,QB,Feleipe Franks,6,77,ATL,3,
8,QB,Mike White,6,79,NYJ,3,
8,QB,Ian Book,6,81,NO,3,
8,QB,Easton Stick,7,82,LAC,2,
8,QB,Josh Rosen,6,83,ATL,3,
8,QB,David Blough,9,85,DET,1,
8,QB,Matt Barkley,13,86,TEN,2,
8,QB,Chris Streveler,12,87,ARI,2,
9,WR,Andy Isabella,12,111,ARI,2,35
9,WR,Greg Ward,14,113,PHI,3,27
9,WR,N'Keal Harry,14,105,NE,4,17
9,WR,D'Wayne Eskridge,9,106,SEA,1,12
9,WR,Dyami Brown,9,104,WAS,3,5
9,WR,Jalen Guyton,7,119,LAC,3,4
9,WR,Scotty Miller,9,107,TB,2,-16
9,WR,Quez Watkins,14,117,PHI,3,-17
9,WR,Olamide Zaccheaus,6,116,ATL,4,-21
9,WR,Demarcus Robinson,12,112,KC,3,-22
9,WR,Josh Palmer,7,110,LAC,3,-25
9,WR,Byron Pringle,12,115,KC,3,-26
9,WR,Miles Boykin,8,114,BAL,2,
9,WR,John Ross,10,118,NYG,3,
9,TE,Stephen Anderson,7,103,LAC,3,-65
9,TE,Charlie Woerner,6,101,SF,4,
9,TE,Jaeden Graham,6,102,ATL,2,
9,TE,Lee Smith,6,106,ATL,2,
9,TE,Ricky Seals-Jones,9,109,WAS,3,
9,TE,Zach Gentry,7,110,PIT,5,
9,TE,Brandon Dillon,7,112,MIN,2,
9,TE,Eric Saubert,11,114,DEN,4,
9,TE,Trevon Wesco,6,116,NYJ,3,
9,TE,Nick Keizer,12,118,KC,3,
9,TE,Jesse James,10,119,CHI,1,
9,TE,Sammis Reyes,9,120,WAS,3,
9,TE,Caleb Wilson,9,121,WAS,3,
9,TE,Cethan Carter,14,123,MIA,4,
9,TE,Tommy Hudson,13,124,TEN,2,
9,TE,Demetrius Harris,12,125,ARI,2,
9,RB,Ty'Son Williams,8,93,BAL,4,11
9,RB,Kylin Hill,13,104,GB,0,6
9,RB,Khalil Herbert,10,110,CHI,3,3
9,RB,Chris Evans,10,101,CIN,3,-7
9,RB,Mike Boone,11,103,DEN,5,-14
9,RB,Royce Freeman,11,105,DEN,5,-20
9,RB,Jake Funk,11,100,LAR,4,-21
9,RB,Tony Jones Jr.,6,94,NO,2,-28
9,RB,Jaret Patterson,9,107,WAS,3,-31
9,RB,Elijah Mitchell,6,102,SF,3,-34
9,RB,Dare Ogunbowale,7,109,JAC,4,
9,QB,Danny Etling,7,91,MIN,3,
9,QB,Bryce Perkins,11,92,LAR,4,
9,QB,Drew Stanton,9,93,TB,2,
9,QB,Clayton Thorson,10,94,NYG,4,
9,QB,Sean Mannion,9,98,SEA,0,
9,QB,Joshua Dobbs,7,99,PIT,4,
9,QB,Nathan Peterman,8,100,LV,3,
10,WR,Tylan Wallace,8,124,BAL,2,9
10,WR,Willie Snead IV,8,143,LV,1,7
10,WR,Tyler Johnson,9,125,TB,2,4
10,WR,Tutu Atwell,11,121,LAR,5,-1
10,WR,Jalen Hurd,6,133,SF,5,-2
10,WR,Anthony Schwartz,13,137,CLE,1,-3
10,WR,Cam Sims,9,135,WAS,3,-11
10,WR,Albert Wilson,14,139,MIA,3,-11
