name,team,pos,tier,bye,adp,rank,diff,auc,round_rec,notes
Kyle Pitts,ATL,TE,3,6,50,55,-5,15,5,"rookie, top 4 pick in the draft, projections seem bloated"
T.J. Hockenson,DET,TE,3,9,55,61,-6,13,,
Dallas Goedert,PHI,TE,4,14,85,77,8,8,,good value
Tyler Higbee,LAR,TE,4,11,115,82,33,6,,"good value, 600 yards"
Noah Fant,DEN,TE,4,11,80,87,-7,6,,good value
Logan Thomas,WAS,TE,4,9,93,92,1,5,,good value
Robert Tonyan,GB,TE,4,13,118,93,25,5,,"good value, 600 yards / 6 tds"
Mike Gesicki,MIA,TE,5,14,110,99,11,4,,matchups
Irv Smith Jr.,MIN,TE,5,7,142,102,40,3,,matchups
Eric Ebron,PIT,TE,5,7,225,109,116,2,,matchups
Jared Cook,LAC,TE,5,7,180,114,66,1,,matchups
Hunter Henry,NE,TE,5,14,143,116,27,1,,"matchups, Jets are in their division and have a weak secondary"
Rob Gronkowski,TB,TE,5,9,109,118,-9,1,,matchups
Jonnu Smith,NE,TE,5,14,129,121,8,1,,matchups
Evan Engram,NYG,TE,6,10,144,126,18,1,,
Blake Jarwin,DAL,TE,6,7,205,130,75,0,,
Adam Trautman,NO,TE,6,6,193,133,60,0,,
Christian McCaffrey,CAR,RB,1,13,1,1,0,78,1,
Dalvin Cook,MIN,RB,1,7,2,2,0,62,1,
Derrick Henry,TEN,RB,1,13,3,5,-2,53,1,good pairing with Julio Jones
Alvin Kamara,NO,RB,1,6,4,7,-3,51,1,
Saquon Barkley,NYG,RB,2,10,6,10,-4,45,end 1,
Ezekiel Elliott,DAL,RB,2,7,6,12,-6,41,end 1,
Aaron Jones,GB,RB,2,13,11,13,-2,40,end 1,
Jonathan Taylor,IND,RB,2,14,6,15,-9,39,end 1,overrated based on injuiries to his G Quenton Nelson and Carson Wentz
Austin Ekeler,LAC,RB,3,7,14,17,-3,37,2,
Nick Chubb,CLE,RB,3,13,7,19,-12,35,2,but low receptions and backed by Kareem Hunt
Joe Mixon,CIN,RB,3,10,19,22,-3,34,2,
Najee Harris,PIT,RB,3,7,17,24,-7,32,2,
Antonio Gibson,WAS,RB,3,9,16,28,-12,29,2,top 10 player but splitting time with J.D. McKissic
D'Andre Swift,DET,RB,3,9,32,32,0,26,2,"underrated, 1300 total yards with DET offense"
Clyde Edwards-Helaire,KC,RB,3,12,23,34,-11,25,2,
