id,name,position,team,total_points,projected_total_points,rank
3121422,Terry McLaurin,WR,WSH,180.3,172.31,21
4036131,Noah Fant,TE,DEN,118.3,118.95,12
2985659,Wil Lutz,K,NO,130.0,136.78,13
11237,Matt Ryan,QB,ATL,282.44,282.96,12
4240021,Cam Akers,RB,LAR,96.3,159.74,43
11122,Matt Prater,K,DET,110.0,130.05,22
-16017,Patriots D/ST,D/ST,NE,112.0,134.83,10
15835,Zach Ertz,TE,PHI,59.5,154.69,32
3043275,Austin Hooper,TE,CLE,90.5,105.66,21
4241463,Jerry Jeudy,WR,DEN,131.6,129.48,44
13994,Cam Newton,QB,NE,259.98,259.13,16
13983,A.J. Green,WR,CIN,87.8,158.58,68
3916945,Darius Slayton,WR,NYG,116.0,134.43,55
3895856,Christian Kirk,WR,ARI,122.4,144.47,50
16913,James White,RB,NE,92.1,130.63,47
16757,Derek Carr,QB,OAK,272.12,237.41,13
14993,Greg Zuerlein,K,DAL,146.0,123.77,5
2573079,Carson Wentz,QB,IND,198.4,266.72,22
-16009,Packers D/ST,D/ST,GB,112.0,95.75,11
17372,Chris Boswell,K,PIT,99.0,125.87,25
16782,Jerick McKinnon,RB,SF,109.7,77.98,40
-16016,Vikings D/ST,D/ST,MIN,47.0,130.79,27
13232,Jimmy Graham,TE,CHI,118.6,89.0,11
3052587,Baker Mayfield,QB,CLE,248.12,223.93,17
16733,Odell Beckham Jr.,WR,CLE,75.32,180.38,85
13981,Mark Ingram II,RB,None,49.9,148.35,73
16725,Sammy Watkins,WR,KC,68.9,136.23,95
9704,Stephen Gostkowski,K,TEN,111.0,112.83,20
3139522,Travis Fulgham,WR,PHI,96.9,0.0,65
3916925,Kerryon Johnson,RB,DET,62.3,128.99,66
3929630,Saquon Barkley,RB,NYG,12.4,259.75,120
-16024,Chargers D/ST,D/ST,LAC,87.0,120.36,21
3124084,Joey Slye,K,CAR,122.0,117.52,16
3122866,Devontae Booker,RB,OAK,77.2,63.7,56
-16007,Broncos D/ST,D/ST,DEN,75.0,118.93,22
3128429,Courtland Sutton,WR,DEN,8.1,170.59,179
4241479,Tua Tagovailoa,QB,MIA,135.46,180.14,31
3043234,Zane Gonzalez,K,None,92.0,121.12,27
3117256,Dalton Schultz,TE,DAL,115.0,31.6,14
13217,Golden Tate,WR,None,69.02,134.16,94
3051926,Gus Edwards,RB,BAL,123.7,49.89,35
3039707,Mitchell Trubisky,QB,CHI,153.7,140.26,27
-16006,Cowboys D/ST,D/ST,DAL,67.0,124.71,23
3128774,Kalen Ballage,RB,LAC,79.4,0.0,55
16339,Brandon McManus,K,DEN,130.0,120.68,14
3049916,Matt Breida,RB,MIA,37.5,119.52,84
3915511,Joe Burrow,QB,CIN,173.72,232.47,25
16728,Teddy Bridgewater,QB,CAR,241.22,205.88,18
2577417,Dak Prescott,QB,DAL,135.14,301.28,32
3051439,Boston Scott,RB,PHI,83.1,108.81,51
3915399,Preston Williams,WR,MIA,65.8,144.13,96
5529,Philip Rivers,QB,IND,239.96,224.71,20
3066158,Tarik Cohen,RB,CHI,14.5,134.05,116
3060022,Jordan Howard,RB,PHI,30.2,138.68,90
3917792,Daniel Jones,QB,NYG,180.02,248.82,24
3050478,Jake Elliott,K,PHI,70.0,123.58,29
-16010,Titans D/ST,D/ST,TEN,55.0,117.45,26
-16019,Giants D/ST,D/ST,NYG,110.0,79.32,13
2983509,Dare Ogunbowale,RB,JAX,24.9,23.25,95
2979477,Tevin Coleman,RB,SF,10.7,116.22,124
4241802,Jalen Reagor,WR,PHI,71.7,117.42,88
3123052,Michael Badgley,K,LAC,111.0,116.11,21
3915411,Ty Johnson,RB,NYJ,55.3,7.19,70
16944,Devonta Freeman,RB,BUF,32.5,0.0,87
16777,Carlos Hyde,RB,SEA,76.9,50.05,57
-16029,Panthers D/ST,D/ST,CAR,97.0,69.59,19
4243160,Laviska Shenault Jr.,WR,JAX,128.1,104.9,47
2971573,Ka'imi Fairbairn,K,HOU,128.0,120.21,15
14054,Kyle Rudolph,TE,None,51.4,68.05,40
4040980,Irv Smith Jr.,TE,MIN,83.5,88.3,22
17427,Cairo Santos,K,CHI,137.0,97.33,10
5528,Larry Fitzgerald,WR,ARI,73.9,115.51,87
4047839,N'Keal Harry,WR,NE,57.4,125.61,100
11283,DeSean Jackson,WR,None,37.8,120.95,119
15091,Randy Bullock,K,CIN,95.0,113.37,26
3051902,Peyton Barber,RB,WSH,53.0,60.75,72
-16013,Raiders D/ST,D/ST,OAK,28.0,91.61,31
3050487,Anthony Miller,WR,CHI,84.2,113.53,73
15971,Rex Burkhead,RB,NE,95.1,58.21,44
3135321,Hunter Renfrow,WR,OAK,103.6,107.42,61
3051738,Marquez Valdes-Scantling,WR,GB,120.8,87.34,52
4038524,Gardner Minshew II,QB,JAX,160.16,227.86,26
2577134,Ty Montgomery,RB,NO,14.3,21.31,117
4258595,Cole Kmet,TE,CHI,48.0,38.27,43
15860,Jordan Reed,TE,SF,60.1,42.09,31
14053,Randall Cobb,WR,HOU,81.1,96.81,79
8664,Ryan Fitzpatrick,QB,MIA,153.24,72.83,28
3924327,Drew Lock,QB,DEN,181.32,232.18,23
16760,Jimmy Garoppolo,QB,SF,64.34,233.72,39
4249087,Matt Gay,K,LAR,64.0,0.0,30
3139605,Marlon Mack,RB,IND,7.1,123.08,135
3123050,Chris Herndon,TE,NYJ,58.2,107.19,35
3051891,Jordan Wilkins,RB,IND,55.3,14.66,71
3125403,Brian Hill,RB,ATL,82.9,59.39,52
10475,Greg Olsen,TE,SEA,41.9,65.03,46
16974,Trey Burton,TE,IND,69.3,34.61,25
4239934,AJ Dillon,RB,GB,39.3,59.57,81
4034952,La'Mical Perine,RB,NYJ,47.0,45.54,77
14012,Andy Dalton,QB,DAL,136.36,11.18,30
3121410,Parris Campbell,WR,IND,11.7,107.77,168
4243537,Gabriel Davis,WR,BUF,119.4,22.24,54
15807,Cordarrelle Patterson,RB,CHI,58.9,32.12,68
3128452,Jordan Akins,TE,HOU,65.2,79.45,27
3821683,Austin Seibert,K,CIN,24.0,124.52,37
16504,Jack Doyle,TE,IND,52.6,105.57,39
2577654,DeAndre Washington,RB,MIA,14.6,0.0,115
3128451,Tre'Quan Smith,WR,NO,86.1,44.08,69
3928925,JaMycal Hasty,RB,SF,27.6,0.0,93
3040035,Greg Ward,WR,PHI,106.6,23.24,59
3115375,Darrel Williams,RB,KC,45.5,89.24,78
3917612,Ke'Shawn Vaughn,RB,TB,20.8,22.46,98
8416,Alex Smith,QB,None,71.58,22.01,37
14912,Alshon Jeffery,WR,PHI,20.5,109.61,150
4240631,DeeJay Dallas,RB,SEA,48.4,9.63,75
3914397,Scotty Miller,WR,TB,86.0,75.55,70
15966,Chris Thompson,RB,JAX,32.6,101.96,86
14877,Nick Foles,QB,CHI,104.18,101.75,36
14322,Dan Bailey,K,MIN,83.0,119.57,28
17082,Cody Parkey,K,CLE,107.0,0.0,23
3123969,Ito Smith,RB,ATL,48.8,48.59,74
-16004,Bengals D/ST,D/ST,CIN,40.0,107.19,28
13215,Dez Bryant,WR,BAL,19.7,0.0,154
3066074,Chad Hansen,WR,HOU,38.1,0.0,118
3116074,Rodney Smith,RB,CAR,32.0,9.96,88
-16008,Lions D/ST,D/ST,DET,16.0,110.44,32
3918639,Gerald Everett,TE,LAR,72.4,60.24,24
3932430,Jalen Guyton,WR,LAC,83.1,28.55,77
3843750,Derrius Guice,RB,None,0.0,0.0,167
8461,Mike Nugent,K,ARI,29.0,0.0,35
3122449,James Washington,WR,PIT,84.2,80.95,74
15788,Tyler Eifert,TE,JAX,64.9,86.47,28
15705,Josh Gordon,WR,SEA,0.0,44.53,215
17359,Damien Williams,RB,KC,0.0,0.0,168
3894912,Tyron Johnson,WR,LAC,69.5,7.99,92
2978109,Zach Pascal,WR,IND,114.9,40.05,56
16786,Richard Rodgers,TE,PHI,58.5,7.66,34
4040774,Harrison Bryant,TE,CLE,49.8,23.75,41
3139925,Rashaad Penny,RB,SEA,3.4,63.16,143
3923397,Ryquell Armstead,RB,JAX,0.0,10.25,169
12514,LeSean McCoy,RB,TB,20.7,70.56,100
2577641,Jakeem Grant,WR,MIA,69.3,100.06,93
4212909,David Moore,WR,SEA,101.3,33.06,63
3043116,Demarcus Robinson,WR,KC,85.1,89.75,71
3049698,Anthony Firkser,TE,TEN,64.2,48.27,30
-16001,Falcons D/ST,D/ST,ATL,59.0,81.11,24
15965,Dustin Hopkins,K,WSH,121.0,105.52,17
4036431,Darrynton Evans,RB,TEN,15.1,80.03,114
3045523,Kendrick Bourne,WR,SF,105.2,38.38,60
2576980,Marcus Mariota,QB,OAK,25.84,0.0,47
3127292,Will Dissly,TE,SEA,49.1,77.5,42
3059989,Nick Mullens,QB,SF,116.28,10.47,34
2972091,Jalen Richard,RB,OAK,41.6,74.4,79
3699935,Devine Ozigbo,RB,JAX,8.8,52.16,128
2969939,Jameis Winston,QB,NO,2.4,18.73,68
3912547,Sam Darnold,QB,NYJ,134.02,222.96,33
3917960,Steven Sims Jr.,WR,WSH,43.8,115.73,112
14198,Dion Lewis,RB,NYG,47.7,35.82,76
2998565,Mo Alie-Cox,TE,IND,64.9,28.63,29
10621,Nick Folk,K,NE,121.0,114.03,18
4241941,Anthony McFarland Jr.,RB,PIT,19.7,46.2,103
2577667,Damiere Byrd,WR,NE,91.4,85.19,67
3122672,Royce Freeman,RB,DEN,31.1,24.04,89
3116389,Samaje Perine,RB,CIN,60.2,4.92,67
3930086,Dawson Knox,TE,BUF,54.8,80.02,36
2991767,Blake Jarwin,TE,DAL,1.7,92.45,103
15773,Darren Fells,TE,HOU,65.7,58.35,26
2576491,Adam Humphries,WR,None,46.3,85.87,109
3116172,Trace McSorley,QB,BAL,9.3,0.0,60
3043080,O.J. Howard,TE,TB,32.1,55.32,55
17258,Willie Snead IV,WR,BAL,77.7,61.37,83
15837,Mike Glennon,QB,JAX,60.58,0.0,40
2578369,Marvin Hall,WR,CLE,51.3,11.32,105
3139033,Mike Boone,RB,MIN,13.9,21.64,118
3127310,Drew Sample,TE,CIN,58.9,36.05,33
4038994,Sam Sloman,K,TEN,52.0,123.38,31
4212989,Dan Arnold,TE,ARI,81.3,67.87,23
3932449,Dexter Williams,RB,GB,0.8,0.0,161
3912092,Donald Parham Jr.,TE,LAC,38.9,6.15,50
4040616,Dwayne Haskins Jr.,QB,PIT,68.16,206.94,38
4038818,Bryan Edwards,WR,OAK,30.8,90.49,130
11291,Chad Henne,QB,KC,23.72,11.53,48
3930066,Van Jefferson,WR,LAR,37.4,74.21,121
17453,Cameron Brate,TE,TB,54.2,30.21,37
2998120,Josh Lambo,K,JAX,28.0,116.53,36
3892889,Dede Westbrook,WR,JAX,-1.1,83.91,394
3123076,David Njoku,TE,CLE,42.8,36.73,45
