id,name,position,team,total_points,projected_total_points,rank
3078660,Joe Callahan,QB,None,0.0,0.0,114
3052450,Danny Etling,QB,ATL,0.0,0.0,115
14900,Coby Fleener,TE,None,0.0,0.0,147
2971426,Sean Culkin,TE,LAC,1.7,0.0,105
16766,C.J. Fiedorowicz,TE,None,0.0,0.0,148
3126263,Charles Jones,TE,JAX,1.0,0.0,113
15775,Ifeanyi Momah,TE,None,0.0,0.0,149
2975863,Eric Saubert,TE,CHI,3.1,0.89,101
14403,Andre Holmes,WR,DEN,0.0,0.0,290
3117131,Detrez Newsome,RB,None,0.0,0.0,239
2982804,Leonte Carroo,WR,None,0.0,0.0,291
3046399,Marcus Kemp,WR,KC,0.0,0.0,292
17452,Branden Oliver,RB,None,0.0,0.0,240
15503,Deonte Thompson,WR,None,0.0,0.0,293
13484,Joe Webb III,WR,HOU,0.0,0.0,294
2985288,Marquez Williams,RB,None,0.0,0.0,241
3125232,Nick Bawden,RB,DET,3.7,0.0,129
3040143,LeShun Daniels Jr.,RB,None,0.0,0.0,242
3042417,Shelton Gibson,WR,PHI,0.0,0.0,295
13228,Jermaine Gresham,TE,None,0.0,0.0,150
17382,Marcus Lucas,TE,DAL,0.0,0.0,151
3925348,Hale Hentges,TE,WSH,20.3,3.17,66
3045118,Jordan Leggett,TE,TB,0.0,0.0,152
13726,Logan Paulsen,TE,HOU,0.0,0.0,153
12550,John Phillips,TE,None,0.0,0.0,154
17091,Erik Swoope,TE,None,0.0,0.0,155
3917546,Penny Hart,WR,IND,0.0,0.0,296
3043120,Kelvin Taylor,RB,None,0.0,0.0,243
16994,David Fluellen,RB,TEN,0.0,0.0,244
3051711,Matt Dayes,RB,None,0.0,0.0,245
3119317,Nsimba Webster,WR,LAR,0.0,0.0,297
4038938,Dillon Mitchell,WR,MIN,0.0,0.0,298
15369,Lance Dunbar,RB,None,0.0,0.0,246
3048680,Taquan Mizzell,WR,CHI,0.0,0.0,299
3115366,Malachi Dupre,WR,LAC,0.0,0.0,300
3052056,River Cracraft,WR,PHI,0.0,0.0,301
2575660,Garrett Grayson,QB,DEN,0.0,0.0,116
2575910,Trevone Boykin,QB,None,0.0,0.0,117
16252,Tyler Bray,QB,CHI,0.0,0.0,118
3045466,Bucky Hodges,TE,NYJ,0.0,0.0,156
2970038,David Grinnage,TE,None,0.0,0.0,157
15257,Phillip Supernaw,TE,None,0.0,0.0,158
3052166,Darrell Daniels,TE,ARI,0.9,0.0,115
2990959,Rico Gathers,TE,None,0.0,0.0,159
3048924,David Williams,RB,DEN,0.0,0.0,247
