id,name,position,total_points
4259545,D'Andre Swift,RB,166.8
3046439,Hunter Henry,TE,115.3
15072,Marvin Jones Jr.,WR,189.8
3071572,Keelan Cole Sr.,WR,127.9
15349,Cole Beasley,WR,166.5
3917232,Tyler Bass,K,151.0
-16028,Washington D/ST,D/ST,146.0
3119195,Chase Edmonds,RB,141.5
4262921,Justin Jefferson,WR,230.2
4040715,Jalen Hurts,QB,108.94
3116164,Mike Gesicki,TE,132.8
15880,Robert Woods,WR,200.1
3042519,Aaron Jones,RB,235.4
3068267,Austin Ekeler,RB,138.3
14924,T.Y. Hilton,WR,136.2
16790,Jarvis Landry,WR,151.96
4241372,Marquise Brown,WR,154.0
3116365,Mark Andrews,TE,141.1
4040761,Devin Singletary,RB,124.6
3918298,Josh Allen,QB,395.56
2573401,Tyler Higbee,TE,106.2
4038941,Justin Herbert,QB,332.84
3116136,Justin Jackson,RB,55.8
3045138,Mike Williams,WR,129.7
10452,Adrian Peterson,RB,118.5
-16034,Texans D/ST,D/ST,28.0
2473037,Jason Myers,K,138.0
3043078,Derrick Henry,RB,323.6
2576623,DeVante Parker,WR,134.8
4035538,David Montgomery,RB,237.8
15920,Latavius Murray,RB,124.7
-16023,Steelers D/ST,D/ST,164.0
4047646,A.J. Brown,WR,212.5
15847,Travis Kelce,TE,260.26
4360294,Antonio Gibson,RB,184.2
14876,Ryan Tannehill,QB,343.86
3932905,Diontae Johnson,WR,177.8
16799,Allen Robinson II,WR,211.9
4241985,J.K. Dobbins,RB,159.5
3124679,Jason Sanders,K,169.0
4035687,Michael Pittman Jr.,WR,78.9
3916148,Tony Pollard,RB,106.7
-16021,Eagles D/ST,D/ST,102.0
2977644,Todd Gurley II,RB,150.7
2976499,Amari Cooper,WR,190.8
3116385,Joe Mixon,RB,89.1
4048244,Alexander Mattison,RB,80.4
3925357,Calvin Ridley,WR,236.5
3051876,Evan Engram,TE,109.5
4046692,Chase Claypool,WR,183.9
2980453,Jamaal Williams,RB,111.6
13295,Emmanuel Sanders,WR,134.3
-16018,Saints D/ST,D/ST,137.0
2570986,Malcolm Brown,RB,97.6
5536,Ben Roethlisberger,QB,267.22
8479,Frank Gore,RB,92.2
3915165,Rodrigo Blankenship,K,145.0
4035072,Benny Snell Jr.,RB,69.9
3042910,Rashard Higgins,WR,102.4
3121422,Terry McLaurin,WR,180.3
4036131,Noah Fant,TE,118.3
2985659,Wil Lutz,K,130.0
11237,Matt Ryan,QB,282.44
4240021,Cam Akers,RB,96.3
11122,Matt Prater,K,110.0
-16017,Patriots D/ST,D/ST,112.0
15835,Zach Ertz,TE,59.5
3043275,Austin Hooper,TE,90.5
4241463,Jerry Jeudy,WR,131.6
13994,Cam Newton,QB,259.98
13983,A.J. Green,WR,87.8
3916945,Darius Slayton,WR,116.0
3895856,Christian Kirk,WR,122.4
16913,James White,RB,92.1
16757,Derek Carr,QB,272.12
14993,Greg Zuerlein,K,146.0
2573079,Carson Wentz,QB,198.4
-16009,Packers D/ST,D/ST,112.0
17372,Chris Boswell,K,99.0
16782,Jerick McKinnon,RB,109.7
-16016,Vikings D/ST,D/ST,47.0
13232,Jimmy Graham,TE,118.6
3052587,Baker Mayfield,QB,248.12
16733,Odell Beckham Jr.,WR,75.32
13981,Mark Ingram II,RB,49.9
16725,Sammy Watkins,WR,68.9
9704,Stephen Gostkowski,K,111.0
3139522,Travis Fulgham,WR,96.9
3916925,Kerryon Johnson,RB,62.3
3929630,Saquon Barkley,RB,12.4
-16024,Chargers D/ST,D/ST,87.0
3124084,Joey Slye,K,122.0
3122866,Devontae Booker,RB,77.2
-16007,Broncos D/ST,D/ST,75.0
3128429,Courtland Sutton,WR,8.1
